"1","01","Ain","AIN","ain","A500"
"2","02","Aisne","AISNE","aisne","A250"
"3","03","Allier","ALLIER","allier","A460"
"5","05","Hautes-Alpes","HAUTES-ALPES","hautes-alpes","H32412"
"4","04","Alpes-de-Haute-Provence","ALPES-DE-HAUTE-PROVENCE","alpes-de-haute-provence","A412316152"
"6","06","Alpes-Maritimes","ALPES-MARITIMES","alpes-maritimes","A41256352"
"7","07","Ardèche","ARDÈCHE","ardeche","A632"
"8","08","Ardennes","ARDENNES","ardennes","A6352"
"9","09","Ariège","ARIÈGE","ariege","A620"
"10","10","Aube","AUBE","aube","A100"
"11","11","Aude","AUDE","aude","A300"
"12","12","Aveyron","AVEYRON","aveyron","A165"
"13","13","Bouches-du-Rhône","BOUCHES-DU-RHÔNE","bouches-du-rhone","B2365"
"14","14","Calvados","CALVADOS","calvados","C4132"
"15","15","Cantal","CANTAL","cantal","C534"
"16","16","Charente","CHARENTE","charente","C653"
"17","17","Charente-Maritime","CHARENTE-MARITIME","charente-maritime","C6535635"
"18","18","Cher","CHER","cher","C600"
"19","19","Corrèze","CORRÈZE","correze","C620"
"20","2a","Corse-du-sud","CORSE-DU-SUD","corse-du-sud","C62323"
